零件编号,数量,颜色,零件名称,零件分类,图片链接
2817,5,"Light Bluish Gray","Plate Special 2 x 2 with 2 Pin Holes","Plates Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211376.jpg/85x85p.jpg?1658325739.8957849
58123b,2,"Light Bluish Gray","Receiver Unit, IR, Power Functions, with V2 Print","Electronics",https://cdn.rebrickable.com/media/thumbs/parts/elements/6034993.jpg/85x85p.jpg?1658325903.5758092
4519,14,"Light Bluish Gray","Technic Axle 3","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211815.jpg/85x85p.jpg?1658325738.3957846
32073,3,"Light Bluish Gray","Technic Axle 5","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211639.jpg/85x85p.jpg?1658325742.1397853
44294,2,"Light Bluish Gray","Technic Axle 7","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211805.jpg/85x85p.jpg?1658325738.4277847
60485,1,"Light Bluish Gray","Technic Axle 9","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4535768.jpg/85x85p.jpg?1658325742.1397853
32523,1,"Light Bluish Gray","Technic Beam 1 x 3 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211655.jpg/85x85p.jpg?1658325893.0758085
32063,1,"Light Bluish Gray","Technic Beam 1 x 6 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211586.jpg/85x85p.jpg?1658325818.039798
3713,3,"Light Bluish Gray","Technic Bush","Technic Bushes",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211622.jpg/85x85p.jpg?1658325742.1277852
32123b,3,"Light Bluish Gray","Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced","Technic Bushes",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211573.jpg/85x85p.jpg?1740872093.7452123
92693,1,"Light Bluish Gray","Technic Linear Actuator Mini with Dark Bluish Gray Head and Orange Axle","Technic Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/4612100.jpg/85x85p.jpg?1658325742.1557853
61927b,2,"Light Bluish Gray","Technic Linear Actuator with Dark Bluish Gray Ends [Improved Version]","Technic Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/4638507.jpg/85x85p.jpg?1658325995.0678153
4274,1,"Light Bluish Gray","Technic Pin 1/2","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211483.jpg/85x85p.jpg?1658325742.3917854
62462,3,"Light Bluish Gray","Technic Pin Connector Round [Slotted]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4526985.jpg/85x85p.jpg?1658325834.8798008
32054,2,"Light Bluish Gray","Technic Pin Long with Friction Ridges Lengthwise and Stop Bush [3 Lateral Holes, Big Pin Hole]","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211865.jpg/85x85p.jpg?1658325804.703796
3673,4,"Light Bluish Gray","Technic Pin without Friction Ridges Lengthwise","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211807.jpg/85x85p.jpg?1658325739.5717847
61903,2,"Light Bluish Gray","Technic Universal Joint 3L [Complete Assembly]","Technic Steering, Suspension and Engine",https://cdn.rebrickable.com/media/thumbs/parts/elements/4525904.jpg/85x85p.jpg?1658325742.4197853
32062,18,"Red","Technic Axle 2 Notched","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4142865.jpg/85x85p.jpg?1658325711.4477801
99008,4,"Tan","Technic Axle 4 with Centre Stop","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4666999.jpg/85x85p.jpg?1658325782.499792
3749,2,"Tan","Technic Axle Pin without Friction Ridges Lengthwise","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4133591.jpg/85x85p.jpg?1740872186.0189943
6589,6,"Tan","Technic Gear 12 Tooth Bevel","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514556.jpg/85x85p.jpg?1658325752.099787
32198,2,"Tan","Technic Gear 20 Tooth Bevel","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514557.jpg/85x85p.jpg?1658325752.0717869
32002,5,"Tan","Technic Pin 3/4","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/6013938.jpg/85x85p.jpg?1658325809.9517968
32556,2,"Tan","Technic Pin Long without Friction Ridges","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/photos/19/32556-19-22727d9e-2cd4-4ab9-8a17-a619c8ae7eb4.jpg/85x85p.jpg?1739186277.0000222
3023,2,"Trans-Clear","Plate 1 x 2","Plates",https://cdn.rebrickable.com/media/thumbs/parts/elements/4167842.jpg/85x85p.jpg?1658325837.8318014
6141,2,"Trans-Red","Plate Round 1 x 1 with Solid Stud","Plates Round Curved and Dishes",https://cdn.rebrickable.com/media/thumbs/parts/elements/3005741.jpg/85x85p.jpg?1710483508.8352046
3460,1,"Yellow","Plate 1 x 8","Plates",https://cdn.rebrickable.com/media/thumbs/parts/elements/346024.jpg/85x85p.jpg?1658325814.1597974
6536,2,"Yellow","Technic Axle and Pin Connector Perpendicular","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107078.jpg/85x85p.jpg?1658325819.5277984
32009,2,"Yellow","Technic Beam 1 x 11.5 Double Bent Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107079.jpg/85x85p.jpg?1709726404.932607
32523,1,"Yellow","Technic Beam 1 x 3 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4153707.jpg/85x85p.jpg?1658325972.1358137
32316,5,"Yellow","Technic Beam 1 x 5 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4128590.jpg/85x85p.jpg?1740872312.8934453
32017,2,"Yellow","Technic Beam 1 x 5 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107080.jpg/85x85p.jpg?1658325830.6838002
32524,3,"Yellow","Technic Beam 1 x 7 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4495934.jpg/85x85p.jpg?1658325830.6398003
32065,2,"Yellow","Technic Beam 1 x 7 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4114672.jpg/85x85p.jpg?1658326510.21587
40490,2,"Yellow","Technic Beam 1 x 9 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4187136.jpg/85x85p.jpg?1658325902.567809
32140,2,"Yellow","Technic Beam 2 x 4 L-Shape Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4141628.jpg/85x85p.jpg?1658325825.0717993
3701,1,"Yellow","Technic Brick 1 x 4 [3 Pin Holes]","Technic Bricks",https://cdn.rebrickable.com/media/thumbs/parts/elements/370124.jpg/85x85p.jpg?1658325817.0917978
