零件编号,数量,零件名称,零件分类,颜色,图片链接
43093,32,"Technic Axle Pin with Friction Ridges Lengthwise","Technic Pins","Blue",https://cdn.rebrickable.com/media/thumbs/parts/elements/4189110.jpg/85x85p.jpg?1740872078.3089159
6558,25,"Technic Pin Long with Friction Ridges Lengthwise, 2 Center Slots","Technic Pins","Blue",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514553.jpg/85x85p.jpg?1658325738.3957846
87083,1,"Technic Axle 4 with Stop","Technic Axles","Dark Bluish Gray",https://cdn.rebrickable.com/media/thumbs/parts/elements/4560177.jpg/85x85p.jpg?1658325733.6797838
59426,2,"Technic Axle 5.5 with Stop [Rounded Short End]","Technic Axles","Dark Bluish Gray",https://cdn.rebrickable.com/media/thumbs/parts/elements/4508553.jpg/85x85p.jpg?1658325742.9317853
59443,3,"Technic Axle Connector Smooth [with x Hole + Orientation]","Technic Connectors","Dark Bluish Gray",https://cdn.rebrickable.com/media/thumbs/parts/elements/4516546.jpg/85x85p.jpg?1658325734.2717838
11214,11,"Technic Axle Pin 3L with Friction Ridges Lengthwise and 1L Axle","Technic Pins","Dark Bluish Gray",https://cdn.rebrickable.com/media/thumbs/parts/elements/6015356.jpg/85x85p.jpg?1658325741.8317852
61904,2,"Technic Axle and Pin Connector Block 4 x 3 x 2 1/2 [Linear Actuator Holder]","Technic Connectors","Dark Bluish Gray",
6536,1,"Technic Axle and Pin Connector Perpendicular","Technic Connectors","Dark Bluish Gray",
32278,2,"Technic Beam 1 x 15 Thick","Technic Beams","Dark Bluish Gray",
60483,5,"Technic Beam 1 x 2 Thick with Pin Hole and Axle Hole","Technic Beams","Dark Bluish Gray",
41677,4,"Technic Beam 1 x 2 Thin","Technic Beams","Dark Bluish Gray",
6632,2,"Technic Beam 1 x 3 Thin","Technic Beams","Dark Bluish Gray",
32449,2,"Technic Beam 1 x 4 Thin","Technic Beams","Dark Bluish Gray",
32316,3,"Technic Beam 1 x 5 Thick","Technic Beams","Dark Bluish Gray",
32524,2,"Technic Beam 1 x 7 Thick","Technic Beams","Dark Bluish Gray",
6629,2,"Technic Beam 1 x 9 Bent (6 - 4) Thick","Technic Beams","Dark Bluish Gray",
32271,2,"Technic Beam 1 x 9 Bent (7 - 3) Thick","Technic Beams","Dark Bluish Gray",
32056,1,"Technic Beam 3 x 3 L-Shape Thin","Technic Beams","Dark Bluish Gray",
60484,1,"Technic Beam 3 x 3 T-Shape Thick","Technic Beams","Dark Bluish Gray",
3648b,8,"Technic Gear 24 Tooth [New Style with Single Axle Hole]","Technic Gears","Dark Bluish Gray",
3647,2,"Technic Gear 8 Tooth","Technic Gears","Dark Bluish Gray",
32557,1,"Technic Pin Connector Perpendicular Long","Technic Connectors","Dark Bluish Gray",
6587,1,"Technic Axle 3 with Stud","Technic Axles","Dark Tan",
15462,1,"Technic Axle 5 with Stop","Technic Axles","Dark Tan",
84599,1,"Battery Box, Power Functions, with Dark Bluish Gray Bottom [Rechargeable]","Electronics","Light Bluish Gray",
58122,1,"Control Unit, IR, Power Functions, with Dark Bluish Gray Bottom","Electronics","Light Bluish Gray",
58120,4,"Motor, Medium, Power Functions, 3 x 6 x 3 with Dark Bluish Gray Bottom and 20cm Wire","Electronics","Light Bluish Gray",
2817,5,"Plate Special 2 x 2 with 2 Pin Holes","Plates Special","Light Bluish Gray",
58123b,2,"Receiver Unit, IR, Power Functions, with V2 Print","Electronics","Light Bluish Gray",
4519,14,"Technic Axle 3","Technic Axles","Light Bluish Gray",
32073,3,"Technic Axle 5","Technic Axles","Light Bluish Gray",
44294,2,"Technic Axle 7","Technic Axles","Light Bluish Gray",
60485,1,"Technic Axle 9","Technic Axles","Light Bluish Gray",
32523,1,"Technic Beam 1 x 3 Thick","Technic Beams","Light Bluish Gray",
32063,1,"Technic Beam 1 x 6 Thin","Technic Beams","Light Bluish Gray",
3713,3,"Technic Bush","Technic Bushes","Light Bluish Gray",
32123b,3,"Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced","Technic Bushes","Light Bluish Gray",
92693,1,"Technic Linear Actuator Mini with Dark Bluish Gray Head and Orange Axle","Technic Special","Light Bluish Gray",
61927b,2,"Technic Linear Actuator with Dark Bluish Gray Ends [Improved Version]","Technic Special","Light Bluish Gray",
4274,1,"Technic Pin 1/2","Technic Pins","Light Bluish Gray",
62462,3,"Technic Pin Connector Round [Slotted]","Technic Connectors","Light Bluish Gray",
32054,2,"Technic Pin Long with Friction Ridges Lengthwise and Stop Bush [3 Lateral Holes, Big Pin Hole]","Technic Pins","Light Bluish Gray",
3673,4,"Technic Pin without Friction Ridges Lengthwise","Technic Pins","Light Bluish Gray",
61903,2,"Technic Universal Joint 3L [Complete Assembly]","Technic Steering, Suspension and Engine","Light Bluish Gray",
32062,18,"Technic Axle 2 Notched","Technic Axles","Red",
99008,4,"Technic Axle 4 with Centre Stop","Technic Axles","Tan",
3749,2,"Technic Axle Pin without Friction Ridges Lengthwise","Technic Pins","Tan",
6589,6,"Technic Gear 12 Tooth Bevel","Technic Gears","Tan",
32198,2,"Technic Gear 20 Tooth Bevel","Technic Gears","Tan",
32002,5,"Technic Pin 3/4","Technic Pins","Tan",
32556,2,"Technic Pin Long without Friction Ridges","Technic Pins","Tan",
3023,2,"Plate 1 x 2","Plates","Trans-Clear",
6141,2,"Plate Round 1 x 1 with Solid Stud","Plates Round Curved and Dishes","Trans-Red",
3460,1,"Plate 1 x 8","Plates","Yellow",
6536,2,"Technic Axle and Pin Connector Perpendicular","Technic Connectors","Yellow",
32009,2,"Technic Beam 1 x 11.5 Double Bent Thick","Technic Beams","Yellow",
32523,1,"Technic Beam 1 x 3 Thick","Technic Beams","Yellow",
32316,5,"Technic Beam 1 x 5 Thick","Technic Beams","Yellow",
32017,2,"Technic Beam 1 x 5 Thin","Technic Beams","Yellow",
32524,3,"Technic Beam 1 x 7 Thick","Technic Beams","Yellow",
32065,2,"Technic Beam 1 x 7 Thin","Technic Beams","Yellow",
40490,2,"Technic Beam 1 x 9 Thick","Technic Beams","Yellow",
32140,2,"Technic Beam 2 x 4 L-Shape Thick","Technic Beams","Yellow",
3701,1,"Technic Brick 1 x 4 [3 Pin Holes]","Technic Bricks","Yellow",
