零件编号,颜色,数量,零件名称,零件分类,图片链接
60483,"Dark Bluish Gray",5,"Technic Beam 1 x 2 Thick with Pin Hole and Axle Hole","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4515183.jpg/85x85p.jpg?1658325795.1757941
41677,"Dark Bluish Gray",4,"Technic Beam 1 x 2 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210980.jpg/85x85p.jpg?1658325847.347803
6632,"Dark Bluish Gray",2,"Technic Beam 1 x 3 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4223767.jpg/85x85p.jpg?1658325795.287794
32449,"Dark Bluish Gray",2,"Technic Beam 1 x 4 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210749.jpg/85x85p.jpg?1658325839.8958018
32316,"Dark Bluish Gray",3,"Technic Beam 1 x 5 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210686.jpg/85x85p.jpg?1658325787.3677928
32524,"Dark Bluish Gray",2,"Technic Beam 1 x 7 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210752.jpg/85x85p.jpg?1658325787.3717928
6629,"Dark Bluish Gray",2,"Technic Beam 1 x 9 Bent (6 - 4) Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210638.jpg/85x85p.jpg?1658325787.3877928
32271,"Dark Bluish Gray",2,"Technic Beam 1 x 9 Bent (7 - 3) Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210673.jpg/85x85p.jpg?1682131925.7718782
32056,"Dark Bluish Gray",1,"Technic Beam 3 x 3 L-Shape Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210659.jpg/85x85p.jpg?1658325795.3117943
60484,"Dark Bluish Gray",1,"Technic Beam 3 x 3 T-Shape Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4535773.jpg/85x85p.jpg?1740890054.9966853
3648b,"Dark Bluish Gray",8,"Technic Gear 24 Tooth [New Style with Single Axle Hole]","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514558.jpg/85x85p.jpg?1658325738.3517847
3647,"Dark Bluish Gray",2,"Technic Gear 8 Tooth","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514559.jpg/85x85p.jpg?1658325839.5878017
32557,"Dark Bluish Gray",1,"Technic Pin Connector Perpendicular Long","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4210756.jpg/85x85p.jpg?1658326889.663922
6587,"Dark Tan",1,"Technic Axle 3 with Stud","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4566927.jpg/85x85p.jpg?1658325782.483792
15462,"Dark Tan",1,"Technic Axle 5 with Stop","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/6055631.jpg/85x85p.jpg?1658325787.4077928
84599,"Light Bluish Gray",1,"Battery Box, Power Functions, with Dark Bluish Gray Bottom [Rechargeable]","Electronics",https://cdn.rebrickable.com/media/thumbs/parts/elements/6163683.jpg/85x85p.jpg?1658326006.5798163
58122,"Light Bluish Gray",1,"Control Unit, IR, Power Functions, with Dark Bluish Gray Bottom","Electronics",https://cdn.rebrickable.com/media/thumbs/parts/elements/4506079.jpg/85x85p.jpg?1658325796.7157946
58120,"Light Bluish Gray",4,"Motor, Medium, Power Functions, 3 x 6 x 3 with Dark Bluish Gray Bottom and 20cm Wire","Electronics",https://cdn.rebrickable.com/media/thumbs/parts/elements/4506083.jpg/85x85p.jpg?1658325779.2517915
2817,"Light Bluish Gray",5,"Plate Special 2 x 2 with 2 Pin Holes","Plates Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211376.jpg/85x85p.jpg?1658325739.8957849
58123b,"Light Bluish Gray",2,"Receiver Unit, IR, Power Functions, with V2 Print","Electronics",https://cdn.rebrickable.com/media/thumbs/parts/elements/6034993.jpg/85x85p.jpg?1658325903.5758092
4519,"Light Bluish Gray",14,"Technic Axle 3","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211815.jpg/85x85p.jpg?1658325738.3957846
32073,"Light Bluish Gray",3,"Technic Axle 5","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211639.jpg/85x85p.jpg?1658325742.1397853
44294,"Light Bluish Gray",2,"Technic Axle 7","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211805.jpg/85x85p.jpg?1658325738.4277847
60485,"Light Bluish Gray",1,"Technic Axle 9","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4535768.jpg/85x85p.jpg?1658325742.1397853
32523,"Light Bluish Gray",1,"Technic Beam 1 x 3 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211655.jpg/85x85p.jpg?1658325893.0758085
32063,"Light Bluish Gray",1,"Technic Beam 1 x 6 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211586.jpg/85x85p.jpg?1658325818.039798
3713,"Light Bluish Gray",3,"Technic Bush","Technic Bushes",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211622.jpg/85x85p.jpg?1658325742.1277852
32123b,"Light Bluish Gray",3,"Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced","Technic Bushes",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211573.jpg/85x85p.jpg?1740872093.7452123
92693,"Light Bluish Gray",1,"Technic Linear Actuator Mini with Dark Bluish Gray Head and Orange Axle","Technic Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/4612100.jpg/85x85p.jpg?1658325742.1557853
61927b,"Light Bluish Gray",2,"Technic Linear Actuator with Dark Bluish Gray Ends [Improved Version]","Technic Special",https://cdn.rebrickable.com/media/thumbs/parts/elements/4638507.jpg/85x85p.jpg?1658325995.0678153
4274,"Light Bluish Gray",1,"Technic Pin 1/2","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211483.jpg/85x85p.jpg?1658325742.3917854
62462,"Light Bluish Gray",3,"Technic Pin Connector Round [Slotted]","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4526985.jpg/85x85p.jpg?1658325834.8798008
32054,"Light Bluish Gray",2,"Technic Pin Long with Friction Ridges Lengthwise and Stop Bush [3 Lateral Holes, Big Pin Hole]","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211865.jpg/85x85p.jpg?1658325804.703796
3673,"Light Bluish Gray",4,"Technic Pin without Friction Ridges Lengthwise","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4211807.jpg/85x85p.jpg?1658325739.5717847
61903,"Light Bluish Gray",2,"Technic Universal Joint 3L [Complete Assembly]","Technic Steering, Suspension and Engine",https://cdn.rebrickable.com/media/thumbs/parts/elements/4525904.jpg/85x85p.jpg?1658325742.4197853
32062,"Red",18,"Technic Axle 2 Notched","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4142865.jpg/85x85p.jpg?1658325711.4477801
99008,"Tan",4,"Technic Axle 4 with Centre Stop","Technic Axles",https://cdn.rebrickable.com/media/thumbs/parts/elements/4666999.jpg/85x85p.jpg?1658325782.499792
3749,"Tan",2,"Technic Axle Pin without Friction Ridges Lengthwise","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/4133591.jpg/85x85p.jpg?1740872186.0189943
6589,"Tan",6,"Technic Gear 12 Tooth Bevel","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514556.jpg/85x85p.jpg?1658325752.099787
32198,"Tan",2,"Technic Gear 20 Tooth Bevel","Technic Gears",https://cdn.rebrickable.com/media/thumbs/parts/elements/4514557.jpg/85x85p.jpg?1658325752.0717869
32002,"Tan",5,"Technic Pin 3/4","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/elements/6013938.jpg/85x85p.jpg?1658325809.9517968
32556,"Tan",2,"Technic Pin Long without Friction Ridges","Technic Pins",https://cdn.rebrickable.com/media/thumbs/parts/photos/19/32556-19-22727d9e-2cd4-4ab9-8a17-a619c8ae7eb4.jpg/85x85p.jpg?1739186277.0000222
3023,"Trans-Clear",2,"Plate 1 x 2","Plates",https://cdn.rebrickable.com/media/thumbs/parts/elements/4167842.jpg/85x85p.jpg?1658325837.8318014
6141,"Trans-Red",2,"Plate Round 1 x 1 with Solid Stud","Plates Round Curved and Dishes",https://cdn.rebrickable.com/media/thumbs/parts/elements/3005741.jpg/85x85p.jpg?1710483508.8352046
3460,"Yellow",1,"Plate 1 x 8","Plates",https://cdn.rebrickable.com/media/thumbs/parts/elements/346024.jpg/85x85p.jpg?1658325814.1597974
6536,"Yellow",2,"Technic Axle and Pin Connector Perpendicular","Technic Connectors",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107078.jpg/85x85p.jpg?1658325819.5277984
32009,"Yellow",2,"Technic Beam 1 x 11.5 Double Bent Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107079.jpg/85x85p.jpg?1709726404.932607
32523,"Yellow",1,"Technic Beam 1 x 3 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4153707.jpg/85x85p.jpg?1658325972.1358137
32316,"Yellow",5,"Technic Beam 1 x 5 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4128590.jpg/85x85p.jpg?1740872312.8934453
32017,"Yellow",2,"Technic Beam 1 x 5 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4107080.jpg/85x85p.jpg?1658325830.6838002
32524,"Yellow",3,"Technic Beam 1 x 7 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4495934.jpg/85x85p.jpg?1658325830.6398003
32065,"Yellow",2,"Technic Beam 1 x 7 Thin","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4114672.jpg/85x85p.jpg?1658326510.21587
40490,"Yellow",2,"Technic Beam 1 x 9 Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4187136.jpg/85x85p.jpg?1658325902.567809
32140,"Yellow",2,"Technic Beam 2 x 4 L-Shape Thick","Technic Beams",https://cdn.rebrickable.com/media/thumbs/parts/elements/4141628.jpg/85x85p.jpg?1658325825.0717993
3701,"Yellow",1,"Technic Brick 1 x 4 [3 Pin Holes]","Technic Bricks",https://cdn.rebrickable.com/media/thumbs/parts/elements/370124.jpg/85x85p.jpg?1658325817.0917978
